index, value
dia 0, 2486
dia 1, 1746
dia 2, 1873
dia 3, 1426
dia 4, 1392
dia 5, 1251
dia 6, 1398
dia 7, 1386
dia 8, 2156
dia 9, 1639
dia 10, 2057
dia 11, 1280
dia 12, 1778
dia 13, 1044
dia 14, 2148
dia 15, 1778
dia 16, 1696
dia 17, 2003
dia 18, 2035
dia 19, 1807
dia 20, 2064
dia 21, 1877
dia 22, 2065
dia 23, 1335
dia 24, 1674
dia 25, 1661
dia 26, 1547
dia 27, 1779
dia 28, 1585
dia 29, 1674
dia 30, 1378
dia 31, 1971
dia 32, 1839
dia 33, 1576
dia 34, 2121
dia 35, 1637
dia 36, 1923
dia 37, 1553
dia 38, 1110
dia 39, 1819
dia 40, 1342
dia 41, 1899
dia 42, 1606
dia 43, 1118
dia 44, 1413
dia 45, 1403
dia 46, 1688
dia 47, 1918
dia 48, 1402
dia 49, 1188
dia 50, 1869
dia 51, 1764
dia 52, 1812
dia 53, 1781
dia 54, 1380
dia 55, 1522
dia 56, 1898
dia 57, 1388
dia 58, 1332
dia 59, 1856
dia 60, 1581
dia 61, 2001
dia 62, 2233
dia 63, 1898
dia 64, 1586
dia 65, 1891
dia 66, 2060
dia 67, 2394
dia 68, 1839
dia 69, 1698
dia 70, 1777
dia 71, 1761
dia 72, 1246
dia 73, 1772
dia 74, 1453
dia 75, 1838
dia 76, 2486
dia 77, 1994
dia 78, 2082
dia 79, 1673
dia 80, 1597
dia 81, 1512
dia 82, 1592
dia 83, 1799
dia 84, 1923
dia 85, 1628
dia 86, 2037
dia 87, 2047
dia 88, 2156
dia 89, 2307
dia 90, 2533
dia 91, 1708
dia 92, 1819
dia 93, 1866
dia 94, 1883
dia 95, 1321
dia 96, 1624
dia 97, 1751
dia 98, 2097
dia 99, 1691
dia 100, 1936
dia 101, 2021
dia 102, 1399
dia 103, 2366
dia 104, 1783
dia 105, 1847
dia 106, 1925
dia 107, 1301
dia 108, 1802
dia 109, 1560
dia 110, 1852
dia 111, 1749
dia 112, 2105
dia 113, 1904
dia 114, 2024
dia 115, 2345
dia 116, 1737
dia 117, 1710
dia 118, 1736
dia 119, 1210
dia 120, 1524
dia 121, 1688
dia 122, 2154
dia 123, 1733
dia 124, 1448
dia 125, 2028
dia 126, 1650
dia 127, 1448
dia 128, 1863
dia 129, 1550
dia 130, 2055
dia 131, 2455
dia 132, 1855
dia 133, 1963
dia 134, 2052
dia 135, 1612
dia 136, 1782
dia 137, 1731
dia 138, 2214
dia 139, 1896
dia 140, 1880
dia 141, 1804
dia 142, 2284
dia 143, 1967
dia 144, 1863
dia 145, 1669
dia 146, 1456
dia 147, 1760
dia 148, 1804
dia 149, 1411
dia 150, 1967
dia 151, 2056
dia 152, 1674
dia 153, 1816
